Date,Flux,Nb appels reçus,nb_ae,nb_ae_tr90,DMR,dmt,Year,Mois,Semaine,Year_Sem,jsem,creneau,BTS,cs_ae_tr90,cs_ae,cs_tr90
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,3,3,3,21,164,2022,6,23,2022_23,Mercredi,08:00,False,3,3,100.0
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,6,6,6,29,233,2022,6,23,2022_23,Mercredi,08:30,False,9,9,100.0
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,10,10,10,23,221,2022,6,23,2022_23,Mercredi,09:00,False,19,19,100.0
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,4,4,4,23,596,2022,6,23,2022_23,Mercredi,09:30,False,23,23,100.0
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,16,16,12,68,379,2022,6,23,2022_23,Mercredi,10:00,False,35,39,89.74358974358975
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,10,10,7,68,324,2022,6,23,2022_23,Mercredi,10:30,False,42,49,85.71428571428571
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,6,6,5,42,489,2022,6,23,2022_23,Mercredi,11:00,False,47,55,85.45454545454545
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,9,9,8,44,317,2022,6,23,2022_23,Mercredi,11:30,False,55,64,85.9375
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,12,12,12,26,508,2022,6,23,2022_23,Mercredi,12:00,False,67,76,88.1578947368421
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,9,9,8,38,299,2022,6,23,2022_23,Mercredi,12:30,False,75,85,88.23529411764706
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,11,11,9,47,449,2022,6,23,2022_23,Mercredi,13:00,False,84,96,87.5
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,9,9,4,122,328,2022,6,23,2022_23,Mercredi,13:30,False,88,105,83.80952380952381
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,11,10,6,95,456,2022,6,23,2022_23,Mercredi,14:00,False,94,115,81.73913043478261
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,6,6,1,159,208,2022,6,23,2022_23,Mercredi,14:30,False,95,121,78.51239669421489
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,8,8,8,34,237,2022,6,23,2022_23,Mercredi,15:00,False,103,129,79.84496124031007
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,4,4,3,60,276,2022,6,23,2022_23,Mercredi,15:30,False,106,133,79.69924812030075
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,4,4,4,41,227,2022,6,23,2022_23,Mercredi,16:00,False,110,137,80.2919708029197
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,1,1,1,66,761,2022,6,23,2022_23,Mercredi,16:30,False,111,138,80.43478260869566
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,3,3,2,90,447,2022,6,23,2022_23,Mercredi,17:00,False,113,141,80.1418439716312
2022-06-08,AMPLITEL_SUPPORT_TECHNIQUE,1,1,1,26,178,2022,6,23,2022_23,Mercredi,17:30,False,114,142,80.28169014084507
