,Date,nb_itv
0,2022-05-02,260
1,2022-05-03,181
2,2022-05-04,235
3,2022-05-05,204
4,2022-05-06,169
5,2022-05-07,69
6,2022-05-09,193
7,2022-05-10,198
8,2022-05-11,228
9,2022-05-12,200
10,2022-05-13,205
11,2022-05-14,72
12,2022-05-16,267
13,2022-05-17,213
14,2022-05-18,253
15,2022-05-19,222
16,2022-05-20,237
17,2022-05-21,55
18,2022-05-23,230
19,2022-05-24,222
20,2022-05-25,203
21,2022-05-27,208
22,2022-05-28,55
23,2022-05-30,258
24,2022-05-31,173
0,2022-06-01,227
1,2022-06-02,198
2,2022-06-03,230
3,2022-06-04,140
4,2022-06-07,285
5,2022-06-08,333
6,2022-06-09,223
7,2022-06-10,264
8,2022-06-11,203
9,2022-06-13,339
10,2022-06-14,179
11,2022-06-15,281
12,2022-06-16,163
13,2022-06-17,275
14,2022-06-18,94
15,2022-06-20,337
16,2022-06-21,182
17,2022-06-22,277
18,2022-06-23,197
19,2022-06-24,258
20,2022-06-25,140
21,2022-06-27,294
22,2022-06-28,204
23,2022-06-29,243
24,2022-06-30,109
